,movieId,title,genres,imdbId,tmdbId,adult,origin_country,original_title,popularity,production_companies,production_countries,release_date,spoken_languages,tagline,vote_average,vote_count,cast
12,13,Balto (1995),Adventure|Animation|Children,112453,21032.0,False,US,Balto,21.6834,"Amblin Entertainment, Amblimation, Universal Pictures",United States of America,1995-12-22,English,Part Dog. Part Wolf. All Hero.,7.306,2071,"Kevin Bacon, Bob Hoskins, Bridget Fonda, Jim Cummings"
13,14,Nixon (1995),Drama,113987,10858.0,False,US,Nixon,1.2619,"Cinergi Pictures, Hollywood Pictures, Illusion Entertainment Group",United States of America,1995-12-22,English,"Triumphant in Victory, Bitter in Defeat. He Changed the World, But Lost a Nation.",6.874,374,"Anthony Hopkins, Joan Allen, Powers Boothe, Ed Harris"
14,15,Cutthroat Island (1995),Action|Adventure|Romance,112760,1408.0,False,US,Cutthroat Island,2.5408,"Carolco Pictures, Forge, Laurence Mark Productions, Beckner/Gorman Productions, Tele-Communications Inc., RCS Video, Cutthroat Productions L.P., Le Studio Canal+","France, Germany, Italy, United States of America",1995-12-22,"English, Español, Latin, Français",Be bold. Be brave. Be prepared.,5.784,569,"Geena Davis, Matthew Modine, Frank Langella, Maury Chaykin"
15,16,Casino (1995),Crime|Drama,112641,524.0,False,US,Casino,14.5959,"Universal Pictures, Syalis DA, Légende Films, Cappa/De Fina Productions","France, United States of America",1995-11-22,English,No one stays at the top forever.,7.995,6030,"Robert De Niro, Sharon Stone, Joe Pesci, James Woods"
16,17,Sense and Sensibility (1995),Drama|Romance,114388,4584.0,False,GB,Sense and Sensibility,8.9693,"Columbia Pictures, Mirage Enterprises, Good Machine","United Kingdom, United States of America",1995-12-13,English,Lose your heart and come to your senses.,7.418,1721,"Emma Thompson, Kate Winslet, Alan Rickman, Hugh Grant"
17,18,Four Rooms (1995),Comedy,113101,5.0,False,US,Four Rooms,6.4692,"Miramax, A Band Apart",United States of America,1995-12-09,English,"Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life.",5.862,2689,"Tim Roth, Jennifer Beals, Antonio Banderas, Valeria Golino"
18,19,Ace Ventura: When Nature Calls (1995),Comedy,112281,9273.0,False,US,Ace Ventura: When Nature Calls,8.2281,"Morgan Creek Entertainment, Warner Bros. Pictures",United States of America,1995-11-10,English,New animals. New adventures. Same hair.,6.32,4247,"Jim Carrey, Ian McNeice, Simon Callow, Maynard Eziashi"
19,20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,113845,11517.0,False,US,Money Train,2.5276,"Columbia Pictures, Peters Entertainment",United States of America,1995-11-21,English,"Get on, or GET OUT THE WAY!",5.847,788,"Wesley Snipes, Woody Harrelson, Jennifer Lopez, Robert Blake"
20,21,Get Shorty (1995),Comedy|Crime|Thriller,113161,8012.0,False,US,Get Shorty,8.578,"Metro-Goldwyn-Mayer, Jersey Films",United States of America,1995-10-20,English,Attitude plays a part.,6.496,1091,"John Travolta, Gene Hackman, Rene Russo, Danny DeVito"
21,22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,112722,1710.0,False,US,Copycat,2.7718,"New Regency Pictures, Regency Enterprises, Warner Bros. Pictures",United States of America,1995-10-27,"English, Deutsch, Italiano","One man is copying the most notorious killers in history one at a time. Together, two women must stop him from killing again. Or they’re next.",6.505,1003,"Sigourney Weaver, Holly Hunter, Dermot Mulroney, William McNamara"
22,23,Assassins (1995),Action|Crime|Thriller,112401,9691.0,False,US,Assassins,5.0359,"The De Laurentiis Company, Silver Pictures, Evansgideon/Lazar, Warner Bros. Pictures, Canal+, Donner/Shuler-Donner Productions","France, United States of America",1995-10-06,"English, Español, Nederlands",In the shadows of life. In the business of death. One man found a reason to live.,6.481,1588,"Sylvester Stallone, Antonio Banderas, Julianne Moore, Anatoli Davydov"
23,24,Powder (1995),Drama|Sci-Fi,114168,12665.0,False,US,Powder,3.0723,"Hollywood Pictures, Caravan Pictures",United States of America,1995-10-27,English,An extraordinary encounter with another human being.,7.001,676,"Mary Steenburgen, Sean Patrick Flanery, Lance Henriksen, Jeff Goldblum"
24,25,Leaving Las Vegas (1995),Drama|Romance,113627,451.0,False,US,Leaving Las Vegas,7.8293,"Initial Productions, Lumière Pictures","France, United Kingdom",1995-10-27,"English, Italiano, Pусский",I Love You... The Way You Are.,7.25,1500,"Nicolas Cage, Elisabeth Shue, Julian Sands, Richard Lewis"
25,26,Othello (1995),Drama,114057,16420.0,False,US,Othello,2.8189,"Castle Rock Entertainment, Dakota Films, Columbia Pictures","Italy, United Kingdom, United States of America",1995-12-15,English,"Envy, greed, jealousy and love.",6.4,142,"Laurence Fishburne, Irène Jacob, Kenneth Branagh, Nathaniel Parker"
26,27,Now and Then (1995),Children|Drama,114011,9263.0,False,US,Now and Then,4.5562,New Line Cinema,United States of America,1995-10-20,English,In every woman there is the girl she left behind.,6.888,440,"Christina Ricci, Rosie O'Donnell, Thora Birch, Melanie Griffith"
27,28,Persuasion (1995),Drama|Romance,114117,17015.0,False,US,Persuasion,1.4464,"BBC Film, Millésime Productions, GBH, France 2","France, United Kingdom, United States of America",1995-05-01,English,"A love lost, but never forgotten in this new BBC dramatization",7.1,131,"Amanda Root, Ciarán Hinds, Susan Fleetwood, Fiona Shaw"
28,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,112682,902.0,False,FR,La Cité des Enfants Perdus,3.7517,"Constellation, Lumière Pictures, Le Studio Canal+, France 3 Cinéma, Elías Querejeta PC, Tele München","France, Germany, Spain, United Kingdom",1995-05-17,"广州话 / 廣州話, Français",Where happily ever after is just a dream.,7.253,1122,"Ron Perlman, Dominique Pinon, Judith Vittet, Daniel Emilfork"
29,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,115012,37557.0,False,CN,摇啊摇，摇到外婆桥,2.1861,"Alpha Films, La Sept Cinéma, UGC, Shanghai Film Studios","China, France",1995-09-14,普通话,"In 1930, Shanghai violence was not the problem. It was the solution.",6.75,98,"Gong Li, Li Baotian, Sun Chun, Li Xuejian"
30,31,Dangerous Minds (1995),Drama,112792,9909.0,False,US,Dangerous Minds,6.5585,"Don Simpson/Jerry Bruckheimer Films, Hollywood Pictures, Via Rosa Productions",United States of America,1995-08-11,English,She broke the rules... and changed their lives.,6.974,1180,"Michelle Pfeiffer, George Dzundza, Courtney B. Vance, Robin Bartlett"
31,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,114746,63.0,False,US,Twelve Monkeys,15.1207,"Universal Pictures, Atlas Entertainment, Classico, Twelve Monkeys Productions",United States of America,1995-12-29,"English, Français",The future is history.,7.6,8555,"Bruce Willis, Madeleine Stowe, Brad Pitt, Christopher Plummer"
32,33,Wings of Courage (1995),Adventure|Romance|IMAX,114952,78802.0,False,FR,"Guillaumet, les ailes du courage",0.9205,"Iwerks Entertainment, Sony Pictures Classics","France, United States of America",1995-06-16,English,,6.9,19,"Craig Sheffer, Elizabeth McGovern, Tom Hulce, Ken Pogue"
33,34,Babe (1995),Children|Drama,112431,9598.0,False,AU,Babe,9.8201,"Universal Pictures, Kennedy Miller Productions","Australia, United States of America",1995-07-18,English,A little pig goes a long way.,6.239,2948,"Christine Cavanaugh, Miriam Margolyes, Danny Mann, Hugo Weaving"
34,35,Carrington (1995),Drama|Romance,112637,47018.0,False,US,Carrington,2.4905,"Cinéa, Freeway Films, Orsans Productions, PolyGram Filmed Entertainment, Euston Films, Le Studio Canal+","France, United Kingdom",1995-05-25,English,A love story so unusual it has to be true.,6.2,65,"Emma Thompson, Jonathan Pryce, Steven Waddington, Samuel West"
35,36,Dead Man Walking (1995),Crime|Drama,112818,687.0,False,US,Dead Man Walking,6.4632,"Havoc, PolyGram Filmed Entertainment, Working Title Films","United States of America, United Kingdom",1995-12-29,English,,7.318,1385,"Susan Sarandon, Sean Penn, Robert Prosky, Raymond J. Barry"
36,37,Across the Sea of Time (1995),Documentary|IMAX,112286,139405.0,False,US,Across the Sea of Time,0.819,"Sony New Technologies, Columbia Pictures, Sony Pictures Classics",United States of America,1995-10-20,"English, Pусский",New York as you've never seen it. Sometimes you need to explore the past to uncover the future.,5.2,5,"Peter Reznick, John McDonough, Avi Hoffman, Matt Malloy"
37,38,It Takes Two (1995),Children|Comedy,113442,33689.0,False,US,It Takes Two,4.3517,"Dualstar Productions, Orr & Cruickshank, Rysher Entertainment, Warner Bros. Pictures",United States of America,1995-11-17,English,Two identical strangers. Two different worlds. One perfect match.,6.493,894,"Kirstie Alley, Steve Guttenberg, Ashley Olsen, Mary-Kate Olsen"
38,39,Clueless (1995),Comedy|Romance,112697,9603.0,False,US,Clueless,16.2834,"Paramount Pictures, Robert Lawrence Productions, Scott Rudin Productions",United States of America,1995-07-19,"Español, English",Sex. Clothes. Popularity. Is there a problem here?,7.273,4517,"Alicia Silverstone, Stacey Dash, Brittany Murphy, Paul Rudd"
39,40,"Cry, the Beloved Country (1995)",Drama,112749,34615.0,False,US,"Cry, the Beloved Country",1.2054,"Alpine Pty Limited, Distant Horizon, Miramax","South Africa, United States of America",1995-12-15,English,,6.7,25,"Richard Harris, James Earl Jones, Charles S. Dutton, Vusi Kunene"
40,41,Richard III (1995),Drama|War,114279,31174.0,False,US,Richard III,2.774,"Mayfair Entertainment International, British Screen, United Artists, First Look Pictures, Bayly/Paré Productions, Metro-Goldwyn-Mayer",United Kingdom,1995-12-29,English,"I can smile, and murder while I smile",6.719,180,"Ian McKellen, Annette Bening, Jim Broadbent, Robert Downey Jr."
41,42,Dead Presidents (1995),Action|Crime|Drama,112819,11443.0,False,US,Dead Presidents,1.5103,"Caravan Pictures, Underworld Pictures, Hollywood Pictures",United States of America,1995-09-29,English,"In this daring heist, the only color that counts is green",6.7,299,"Larenz Tate, Keith David, Chris Tucker, Freddy Rodríguez"
42,43,Restoration (1995),Drama,114272,35196.0,False,US,Restoration,3.7001,Miramax,United States of America,1995-12-29,English,"An ordinary man, an irresistible offer. In a world of seduction and power, temptation has its price.",6.021,120,"Robert Downey Jr., Meg Ryan, Sam Neill, David Thewlis"
43,44,Mortal Kombat (1995),Action|Adventure|Fantasy,113855,9312.0,False,US,Mortal Kombat,8.2764,"New Line Cinema, Threshold Entertainment",United States of America,1995-08-18,English,Nothing in this world has prepared you for this.,5.854,2326,"Robin Shou, Linden Ashby, Bridgette Wilson-Sampras, Christopher Lambert"
44,45,To Die For (1995),Comedy|Drama|Thriller,114681,577.0,False,US,To Die For,5.0944,"Columbia Pictures, The Rank Organisation, Laura Ziskin Productions","United Kingdom, United States of America",1995-09-22,English,All she wanted was a little attention.,6.6,813,"Nicole Kidman, Matt Dillon, Joaquin Phoenix, Casey Affleck"
45,46,How to Make an American Quilt (1995),Drama|Romance,113347,11861.0,False,US,How to Make an American Quilt,1.4684,"Universal Pictures, Amblin Entertainment",United States of America,1995-10-06,English,There's beauty in the patterns of life.,6.4,186,"Winona Ryder, Anne Bancroft, Ellen Burstyn, Kate Nelligan"
46,47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,114369,807.0,False,US,Se7en,28.2036,"New Line Cinema, Juno Pix, Arnold Kopelson Productions",United States of America,1995-09-22,English,Seven deadly sins. Seven ways to die.,8.375,21682,"Morgan Freeman, Brad Pitt, Gwyneth Paltrow, John Cassini"
47,48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,114148,10530.0,False,US,Pocahontas,7.8982,"Walt Disney Pictures, Walt Disney Feature Animation",United States of America,1995-06-14,English,An American legend comes to life.,6.915,5779,"Irene Bedard, Mel Gibson, David Ogden Stiers, John Kassir"
48,49,When Night Is Falling (1995),Drama|Romance,114916,8391.0,False,CA,When Night Is Falling,2.1268,Alliance Films,Canada,1995-02-01,"English, Français",A visual treat on lust.,6.4,82,"Pascale Bussières, Rachael Crawford, Henry Czerny, David Fox"
49,50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,114814,629.0,False,US,The Usual Suspects,16.7697,"Bad Hat Harry Productions, Blue Parrot Productions",United States of America,1995-07-19,"Español, English, Français, Magyar",Five criminals. One line up. No coincidence.,8.2,10671,"Stephen Baldwin, Gabriel Byrne, Benicio del Toro, Kevin Pollak"
50,51,Guardian Angel (1994),Action|Drama|Thriller,109950,117164.0,False,US,Guardian Angel,2.5518,PM Entertainment Group,United States of America,1994-11-22,"Deutsch, English",She's no angel of mercy.,4.7,12,"Cynthia Rothrock, Marshall R. Teague, Daniel McVicar, Lydie Denier"
51,52,Mighty Aphrodite (1995),Comedy|Drama|Romance,113819,11448.0,False,US,Mighty Aphrodite,1.3086,"Miramax, Jean Doumanian Productions, Sweetland Films",United States of America,1995-09-13,English,"Of all human weaknesses, obsession is the most dangerous, and the silliest!",6.725,699,"Woody Allen, Mira Sorvino, Helena Bonham Carter, F. Murray Abraham"
52,53,Lamerica (1994),Adventure|Drama,110299,49133.0,False,IT,Lamerica,0.4791,"Alia Film, Cecchi Gori Group Tiger Cinematografica, Arena Films, RAI, Vega Film, Canal+","France, Italy",1994-09-09,"shqip, Italiano",,7.1,59,"Enrico Lo Verso, Michele Placido, Piro Milkani, Carmelo Di Mazzarelli"
53,54,"Big Green, The (1995)",Children|Comedy,112499,26441.0,False,US,The Big Green,2.7423,"Caravan Pictures, Walt Disney Pictures",United States of America,1995-09-29,English,The biggest kick of the year!,5.526,188,"Olivia d'Abo, Steve Guttenberg, Chauncey Leopardi, Patrick Renna"
54,55,Georgia (1995),Drama,113158,97406.0,False,US,Georgia,1.3937,"CiBy 2000, Georgia Film Corporation","United States of America, France",1995-05-19,"English, Français",The toughest act to follow was their dreams.,5.9,43,"Jennifer Jason Leigh, Mare Winningham, Ted Levine, Max Perlich"
55,56,Kids of the Round Table (1995),Adventure|Children|Fantasy,113541,124057.0,False,CA,Kids of the Round Table,0.6515,"Melenny Productions, Téléfilm Canada, Malofilm Communications Inc.","Canada, United States of America",1995-12-15,"English, Français",,4.4,7,"Johnny Morina, Malcolm McDowell, Maggie Castle, James Rae"
56,57,Home for the Holidays (1995),Drama,113321,9089.0,False,US,Home for the Holidays,3.3342,"Egg Pictures, Paramount Pictures, PolyGram Filmed Entertainment",United States of America,1995-11-02,English,"On the fourth Thursday in November, 84 million American families will gather together... And wonder why.",6.284,183,"Holly Hunter, Robert Downey Jr., Anne Bancroft, Charles Durning"
57,58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,110877,11010.0,False,IT,Il postino,1.361,"Esterno Mediterraneo Film, Cecchi Gori Group Tiger Cinematografica, K2 Two, Blue Dahlia Productions, Penta Film","Belgium, France, Italy",1994-04-07,"Español, Italiano",Dreams do come true.,7.925,1158,"Massimo Troisi, Philippe Noiret, Maria Grazia Cucinotta, Renato Scarpa"
58,59,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery,112714,99040.0,False,FR,Le Confessionnal,0.8112,"Cinéa, Cinémaginaire, Enigma Productions, Téléfilm Canada, Film4 Productions","Canada, United Kingdom",1995-09-29,"English, Français, Deutsch",Two brother united by the past and torn by the sacred vow of confession.,6.368,20,"Lothaire Bluteau, Patrick Goyette, Jean-Louis Millette, Kristin Scott Thomas"
59,60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,113419,11359.0,False,US,The Indian in the Cupboard,2.0137,"Paramount Pictures, The Kennedy/Marshall Company, Columbia Pictures",United States of America,1995-07-14,"English, Italiano",Adventure comes to life.,6.461,638,"Hal Scardino, Litefoot, Lindsay Crouse, Richard Jenkins"
60,61,Eye for an Eye (1996),Drama|Thriller,116260,17182.0,False,US,Eye for an Eye,5.7188,Paramount Pictures,United States of America,1996-01-12,"Français, English, Español, 한국어/조선말",What do you do when justice fails?,6.186,417,"Sally Field, Kiefer Sutherland, Ed Harris, Beverly D'Angelo"
61,62,Mr. Holland's Opus (1995),Drama,113862,2054.0,False,US,Mr. Holland's Opus,4.2413,"Hollywood Pictures, Interscope Communications, PolyGram Filmed Entertainment, The Charlie Mopic Company",United States of America,1995-12-29,English,"Of All the Lives He Changed, the One That Changed the Most Was His Own.",6.968,424,"Richard Dreyfuss, Glenne Headly, Jay Thomas, Olympia Dukakis"
62,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,116126,10607.0,False,US,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,8.0471,"Ivory Way Productions, Island Pictures",United States of America,1996-01-12,"English, Español","Finally, the movie that proves that Justice isn't always Poetic, Jungle Fever isn't always pretty, and Higher Learning can be a waste of time.",7.027,1373,"Shawn Wayans, Marlon Wayans, Tracey Cherelle Jones, Chris Spencer"
63,64,Two if by Sea (1996),Comedy|Romance,118002,19760.0,False,US,Two If by Sea,3.059,"Morgan Creek Entertainment, Warner Bros. Pictures",United States of America,1996-01-12,English,"A new comedy about love, laughter, and larceny",4.946,92,"Sandra Bullock, Denis Leary, Yaphet Kotto, Stephen Dillane"
64,65,Bio-Dome (1996),Comedy,115683,9536.0,False,US,Bio-Dome,5.2948,"Weasel Productions, Metro-Goldwyn-Mayer, 3 Arts Entertainment, Motion Picture Corporation of America",United States of America,1996-01-12,English,Bud and Doyle are here to save the world. But who's gonna save the world from Bud and Doyle?,4.5,374,"Pauly Shore, Stephen Baldwin, William Atherton, Joey Lauren Adams"
65,66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,116839,11525.0,False,US,Lawnmower Man 2: Beyond Cyberspace,3.5138,New Line Cinema,United States of America,1996-01-12,English,"God made him simple. Science made him a god. Now, he wants revenge.",3.25,158,"Patrick Bergin, Matt Frewer, Austin O'Brien, Ely Pouget"
66,67,Two Bits (1995),Drama,114753,40628.0,False,US,Two Bits,1.7781,Miramax,United States of America,1995-10-22,English,You're never too old to believe in a dream. Or too young to make one come true!,5.7,61,"Jerry Barone, Al Pacino, Mary Elizabeth Mastrantonio, Joe Grifasi"
67,68,French Twist (Gazon maudit) (1995),Comedy|Romance,113149,4482.0,False,FR,Gazon maudit,1.8471,"Les Films Flam, Renn Productions, Canal+, TF1 Films Production",France,1995-01-18,"Français, Español",A scorned wife. An outrageous affair. The perfect revenge.,6.084,308,"Victoria Abril, Josiane Balasko, Alain Chabat, Ticky Holgado"
68,69,Friday (1995),Comedy,113118,10634.0,False,US,Friday,6.5574,"New Line Cinema, Priority Films, Ice Cube/Pat Charbonnet Productions",United States of America,1995-04-26,English,A lot can go down between Thursday and Saturday...,7.123,1877,"Ice Cube, Chris Tucker, Nia Long, Tommy Lister Jr."
69,70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,116367,755.0,False,US,From Dusk Till Dawn,13.7593,"Los Hooligans Productions, A Band Apart, Dimension Films",United States of America,1996-01-19,"English, Español",One night is all that stands between them and freedom. But it's going to be a hell of a night.,7.028,6058,"George Clooney, Quentin Tarantino, Harvey Keitel, Juliette Lewis"
70,71,Fair Game (1995),Action,113010,11859.0,False,US,Fair Game,1.9171,"Silver Pictures, Warner Bros. Pictures",United States of America,1995-11-03,"English, Pусский","He's a cop on the edge. She's a woman with a dangerous secret. They've been targeted by the Russian mob, and now they're both Fair Game.",5.095,305,"William Baldwin, Cindy Crawford, Steven Berkoff, Christopher McDonald"
71,72,Kicking and Screaming (1995),Comedy|Drama,113537,28387.0,False,US,Kicking and Screaming,3.0944,"Castleberg Productions, Sandollar Productions, Trimark Pictures",United States of America,1995-10-06,English,Anxiety loves company.,6.189,217,"Josh Hamilton, Olivia d'Abo, Chris Eigeman, Parker Posey"
72,73,"Misérables, Les (1995)",Drama|War,113828,48750.0,False,FR,Les Misérables,1.209,"TF1, Les Films 13, Canal+",France,1995-03-22,Français,"In a time of chaos, in a world of change, he was moved by a book he could not read to become a hero he never imagined.",6.694,80,"Jean-Paul Belmondo, Michel Boujenah, Alessandra Martines, Salomé Lelouch"
73,74,Bed of Roses (1996),Drama|Romance,115644,20927.0,False,US,Bed of Roses,2.6509,"New Line Cinema, Juno Pix",United States of America,1996-01-26,English,He gave her flowers. She gave him a chance.,5.8,115,"Christian Slater, Mary Stuart Masterson, Pamela Adlon, Josh Brolin"
74,75,Big Bully (1996),Comedy|Drama,115676,36929.0,False,US,Big Bully,2.4838,"Morgan Creek Entertainment, Warner Bros. Pictures",United States of America,1996-01-26,English,A comedy for the kid in all of us.,4.595,74,"Rick Moranis, Tom Arnold, Julianne Phillips, Carol Kane"
75,76,Screamers (1995),Action|Sci-Fi|Thriller,114367,9102.0,False,CA,Screamers,2.3548,"Fuji Eight Company Ltd., Allegro Films, Fries Film Group, Super Ecran, Triumph Films, The Movie Network, Fries Film Company, Triumph, Allegro Film","Canada, Japan, United States of America",1995-09-08,English,The last scream you hear will be your own.,6.204,543,"Peter Weller, Jennifer Rubin, Roy Dupuis, Andrew Lauer"
76,77,Nico Icon (1995),Documentary,113973,124626.0,False,US,Nico Icon,0.4096,"ZDF, Bluehorse Films, Ciak Filmproduktion","Germany, United States of America",1995-02-18,"Deutsch, English",,7.5,10,"Nico, Tina Aumont, Christian Aaron Boulogne, Jackson Browne"
77,78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,112744,27526.0,False,US,The Crossing Guard,2.7295,Miramax,United States of America,1995-01-26,English,"...some lives cross, others collide.",6.0,266,"Jack Nicholson, David Morse, Anjelica Huston, Robin Wright"
78,79,"Juror, The (1996)",Drama|Thriller,116731,9623.0,False,US,The Juror,5.1294,Columbia Pictures,United States of America,1996-02-02,English,There is no defense.,5.628,400,"Demi Moore, Alec Baldwin, Joseph Gordon-Levitt, Anne Heche"
79,80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,112445,46785.0,False,IR,بادکنک سفید,0.8167,"I.R.I.B. Channel 2, Ferdos Films",Iran,1995-02-02,فارسی,,7.473,93,"Aida Mohammadkhani, Mohsen Kafili, Fereshteh Sadr Orafaee, Anna Borkowska"
80,81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,114660,400.0,False,US,Things to Do in Denver When You're Dead,6.0799,Miramax,United States of America,1995-12-01,"Français, English",Protect. Love. Honor. Avenge.,6.5,391,"Andy García, Christopher Lloyd, William Forsythe, Bill Nunn"
81,82,Antonia's Line (Antonia) (1995),Comedy|Drama,112379,880.0,False,NL,Antonia,2.0773,"Bergen Film, Bard Entertainments, NPS Televisie","Netherlands, United Kingdom, Belgium",1995-09-21,Nederlands,A motion picture that celebrates everything you love about life.,7.035,129,"Willeke van Ammelrooy, Els Dottermans, Dora van der Groen, Veerle van Overloop"
82,83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,114039,146599.0,False,US,Once Upon a Time... When We Were Colored,1.7157,"BET Pictures, United Image Entertainme",United States of America,1996-01-26,English,,4.2,4,"Al Freeman Jr., Phylicia Rashād, Paula Kelly, Salli Richardson-Whitfield"
83,84,Last Summer in the Hamptons (1995),Comedy|Drama,113612,188588.0,False,US,Last Summer in the Hamptons,1.9835,"Jagtoria Films, The Rainbow Film Company, Rainbow Releasing",United States of America,1995-11-22,English,,5.5,4,"Victoria Foyt, Viveca Lindfors, Jon Robin Baitz, Savannah Smith Boucher"
84,85,Angels and Insects (1995),Drama|Romance,112365,8447.0,False,GB,Angels and Insects,2.3314,"Playhouse International Pictures, The Samuel Goldwyn Company, Film4 Productions","United Kingdom, United States of America",1995-09-10,English,An elegant seduction. An erotic deception. A stunning revelation.,6.31,50,"Mark Rylance, Kristin Scott Thomas, Patsy Kensit, Jeremy Kemp"
85,86,White Squall (1996),Action|Adventure|Drama,118158,10534.0,False,US,White Squall,2.1253,"Largo Entertainment, Scott Free Productions, Hollywood Pictures","United Kingdom, United States of America",1996-02-02,English,The strongest will in nature is the will to survive.,6.29,371,"Jeff Bridges, Caroline Goodall, John Savage, Scott Wolf"
